Id,Compagnie/Airline,Code IATA/  IATA code,Code OACI/  ICAO code,Pays/Country,Website,Remarques/Remarks
2.0,2GO,,BOI,Philippines,,Fin des opérations en ???/Ceased operations in ???
3.0,2ND ARKHANGELSK AVIATION ENTERPRISE,,OAO,Russie/Russia,,
4.0,AB AIRLINES,7L,AZX,Grande Bretagne/U.K.,,Fin des opérations : 1999 / Date of end of operations : 1999
5.0,ABAETE LINHAS AEREAS,,ABJ,Brésil/Brazil,www.abaete.com.br,
6.0,ABAKAN AVIA,,ABG,Russie/Russia,www.abakanavia.ru,
7.0,ABELAG AVIATION,W9,SKS,Belgique/Belgium,www.abelag.be,
8.0,ABS JETS,,ABP,République Tchèque/Czech Republic,www.absjets.cz,
10.0,ABU DHABI AVIATION,,AXU,Emirats Arabes Unis/United Arab Emirates,www.adaviation.com,
11.0,ABX AIR,GB,ABX,USA,www.abxair.com,
13.0,ADA AIR,ZY,ADE,Albanie/Albania,www.adaair.com,
14.0,ADAM AIR,KI,DHI,Indonésie/Indonesia,,Fin des opérations : 18 mars 2008 / Date of end of operations : 18 March 2008
15.0,ADC AIRLINES,Z7,ADK,Nigéria/Nigeria,www.adcairlines.com,Operations suspendues depuis le 30 avril 2007/Suspended since 30 April 2007
16.0,ADRIA AIRWAYS,JP,ADR,Slovénie,www.adria-airways.com,
17.0,AEGEAN AIRLINES,A3,AEE,Grèce/Greece,www.aegeanair.com,
20.0,AER LINGUS,EI,EIN,Irlande/Ireland,www.aerlingus.com,
21.0,AERIANTUR-M,,MBV,Moldavie/moldova,,
22.0,AERO AIRLINES,EE,EAY,Estonie/Estonia,www.aeroairlines.com,Fin des opérations : 6 janvier 2008 / Date of end of operations : 6 January 2008
24.0,AERO CALIFORNIA,JR,SER,Mexique/Mexico,,Fin des opérations : 23 juillet 2008 / Date of end of operations : 23 July 2008
25.0,AEROCARDAL,CD,CDA,Chili/Chile,www.aerocardal.com,
26.0,AERO CONDOR PERU,Q6,CDP,Pérou/Peru,www.aerocondor.com.pe,
27.0,AERO CUAHONTE,,CUO,Mexique/Mexico,www.aerocuahonte.com.mx,
28.0,AERO HONDURAS,4S,HON,Honduras,,Fin des opérations : 10 juillet 2004 / Date of end of operations : 10 juillet 2004
29.0,AERO MONGOLIA,MO,MNG,Mongolie/mongolia,www.aeromongolia.mn,
33.0,AEROCARIBBEAN,7L,CRN,Cuba,www.aerocaribbean.avianet.cu,
34.0,AEROCOM,,MCC,Moldavie/Moldova,,
35.0,AEROCONDOR TRANSPORTES AEREOS - ATA,2B,ARD,Portugal,www.aerocondor.com,
36.0,AEROCONTRACTORS,AJ,NIG,Nigéria/Nigeria,www.acn.aero,
38.0,AEROFLOT RUSSIAN AIRLINES,SU,AFL,Russie/Russia,www.aeroflot.ru,
39.0,AEROFLOT-NORD,5N,AUL,Russie/Russia,www.aeroflot-nord.ru,
40.0,AEROGAL - AEROLINEAS GALAPAGOS,2K,GLG,Equateur/Ecuador,www.aerogal.com.ec,
41.0,AEROGAVIOTA,KG,GTV,Cuba,www.aerogaviota.com,
42.0,AEROGEM AVIATION,,GCK,Ghana,www.aerogemaviation.com,
43.0,AEROFLOT-DON,D9,DNV,Russie/Russia,www.aeroflot-don.ru,
45.0,AEROLINEAS ARGENTINAS,AR,ARG,Argentine/Argentina,www.aerolinea.com.ar,
46.0,AEROLINEAS DAMOJH,,DMJ,Mexique/Mexico,,
47.0,AEROLINEAS DE ANTIOQUIA - ADA,,ANQ,Colombie/Colombia,www.ada-aero.com,
48.0,AEROLINEAS DE BALEARES (AEBAL),DF,ABH,Espagne/Spain,www.aerobal.es,Fin des opérations : 16 septembre 2008 / Date of end of operations : 16 September 2008
49.0,AEROLINEAS MESOAMERICANAS (ALMA DE MEXICO),C4,MSO,Mexique/Mexico,www.alam.com.mx,
50.0,AEROLINEAS SOSA,P4,NSO,Honduras,www.aerolineasosa.com,
52.0,AEROMAS,,MSM,Uruguay,www.aeromas.com,
54.0,AEROMEXPRESS,QO,MPX,Mexique/Mexico,www.aeromexpress.com.mx,
55.0,AEROMONTERREY,7M,MOT,Mexique/Mexico,,Fin des opérations : 1995 / Date of end of operations : 1995
56.0,AERONAUTICA GIRA GLOBAL,,GGL,Angola,,
57.0,AERONICA,NI,ANI,Nicaragua,,Achetée par TACA début 1992 / Bought by TACA in early 1992
58.0,AEROPELICAN AIR SERVICES,OT,PEL,Australie/Australia,www.aeropelican.com.au,
59.0,AEROPERLAS,WL,APP,Panama,www.aeroperlas.com,
60.0,AEROPERU,PL,PLI,Pérou/Peru,,Fin des opérations : 1999 / Date of end of operations : 1999
65.0,AEROSUCRE COLOMBIA,6N,KRE,Colombie/Colombia,,
68.0,AEROSVIT AIRLINES,VV,AEW,Ukraine,,Fin des opérations : 13 février 2013 / Date of end of operations : February 13 2013
69.0,AEROTACA,AT,ATK,Colombie/Colombia,,
70.0,AERO-TROPICS AIR SERVICES,HC,ATI,Australie/Australia,www.aero-tropics.com.au,
72.0,AEROVIAS DAP,,DAP,Chili/Chile,www.aeroviasdap.cl,
75.0,AFRICAN EXPRESS AIRWAYS,XU,AXK,Kénya/Kenya,,
76.0,AFRICAN SAFARI AIRWAYS,SK,QSC,Kénya/Kenya,,Fin des opérations : 25 mars 2008 / Date of end of operations : 25 March 2008
77.0,AFRIQIYAH AIRWAYS,8U,AAW,Libye/Libya,www.afriqiyah.aero,
78.0,AIR ADRIATIC,,AHR,Croatie/Croatia,,Fin des opérations : 8 mars 2007 / Date of end of operations : 8 March 2007
81.0,AIR ALGERIE,AH,DAH,Algérie/Algeria,www.airalgerie.dz,
82.0,AIR ALLIANCE,J3,AAQ,Canada,,"En 1999, Air Alliance s'associa avec Air BC, Air Ontario et Air Nova pour former Air Canada Connector./Air Alliance joined Air BC, Air Ontario and Air Nova to form Air Canada Connector in 1999"
83.0,AIR AMBAR,,AMY,République Dominicaine/Dominican Republic,,Fin des opérations : 1996 / Date of end of operations : 1996
84.0,AIR AMERICA,GM,AMR,U.S.A.,,Fin des opérations : Mars 1990 / Date of end of operations : March 1990
85.0,AIR ARABIA,G9,ABY,Emirats Arabes Unis/United Arab Emirates,www.airarabia.com,
86.0,AIR ARUBA,FQ,ARU,Aruba,,Fin des opérations : 1994 / Date of end of operations : 1994
87.0,AIR ASTANA,KC,KZR,Kazakhstan,www.airastana.com,
90.0,AIR ATLANTIC,9A,ATL,Canada,,Fin des opérations : octobre 1998 / Date of end of operations : October 1998
91.0,AIR ATLANTIS,EJ,AIA,Portugal,,Fusionna ave TAP en février 1993 / Merged with TAP in February 1993
92.0,AIR BAGAN,W9,JAB,Myanmar,www.airbagan.com,
93.0,AIR BASHKORTOSTAN,ZU,BBT,Russie/Russia,,
94.0,AIR BC,ZX,ABL,Canada,,Fusionna avec Air Nova et Air Ontario pour former Air Canada Connector en 2000 / Merged with Air Nova and Air Ontario to form Air Canada in 2000.
95.0,AIR BELFAST,7L,AZX,Grande Bretagne/U.K.,,Intégrée dans AB Airlines en 1996 / Integrated into AB Airlines in 1996
96.0,AIRBERLIN,AB,BER,Allemagne/Germany,www.airberlin.com,
100.0,AIR BRISTOL,7L,AZX,Grande Bretagne/U.K.,,Rebaptisée Air Belfast en 1995 / Renamed Air Belfast in 1995
102.0,AIR BURUNDI,8Y,PBU,Burundi,,
104.0,AIR CALIN - AIR CALEDONIE INTERNATIONAL,SB,ACI,Nouvelle Calédonie/New Caledonia,www.aircalin.com,
105.0,AIR CANADA,AC,ACA,Canada,www.aircanada.com,
